CustomerID,Gender,Tenure,MonthlyCharges,Contract,PaymentMethod,Churn
7590-VHVEG,Female,1,29.85,Month-to-month,Electronic check,No
5575-GNVDE,Male,34,56.95,One year,Mailed check,No
3668-QPYBK,Male,2,53.85,Month-to-month,Mailed check,Yes
7795-CFOCW,Male,45,42.3,One year,Bank transfer (automatic),No
9237-HQITU,Female,2,70.7,Month-to-month,Electronic check,Yes
9305-CDSKC,Female,8,99.65,Month-to-month,Electronic check,Yes
1452-KIOVK,Male,22,89.1,Month-to-month,Credit card (automatic),No
6713-OKOMC,Female,10,29.75,Month-to-month,Mailed check,No
7892-POOKP,Female,28,104.8,Month-to-month,Electronic check,Yes
6388-TABGU,Male,62,56.15,One year,Bank transfer (automatic),No
9763-GRSKD,Male,13,49.95,Month-to-month,Mailed check,No
7469-LKBCI,Male,16,18.95,Two year,Credit card (automatic),No
8091-TTVAX,Male,58,100.35,One year,Credit card (automatic),No
0280-XJGEX,Male,49,103.7,Month-to-month,Bank transfer (automatic),Yes
5129-JLPIS,Male,25,105.5,Month-to-month,Electronic check,No
3655-SNQYZ,Female,69,113.25,Two year,Bank transfer (automatic),No
8191-XWSZG,Female,52,20.65,One year,Mailed check,No
9959-WOFKT,Male,71,106.7,Two year,Bank transfer (automatic),No
4190-MFLUW,Female,10,55.2,Month-to-month,Credit card (automatic),Yes
4183-MYFRB,Female,21,90.05,Month-to-month,Electronic check,No
